,1_PC1,1_PC2,1_PC3,1_PC4,1_PC5,1_PC6,1_PC7,1_PC8,1_PC9,1_PC10,1_PC11,1_PC12,1_PC13,1_PC14,1_PC15,1_PC16,1_PC17,1_PC18,1_PC19,1_PC20,1_PC21,1_PC22,1_PC23,1_PC24,1_PC25,1_PC26,1_PC27,1_PC28,1_PC29,1_PC30,1_PC31,1_PC32,1_PC33,1_PC34,1_PC35,1_PC36,1_PC37,1_PC38,1_PC39,1_PC40,1_PC41,1_PC42,1_PC43,1_PC44,1_PC45,1_PC46,1_PC47,1_PC48,1_PC49,1_PC50,2_PC1,2_PC2,2_PC3,2_PC4,2_PC5,2_PC6,2_PC7,2_PC8,2_PC9,2_PC10,2_PC11,2_PC12,2_PC13,2_PC14,2_PC15,2_PC16,2_PC17,2_PC18,2_PC19,2_PC20,2_PC21,2_PC22,2_PC23,2_PC24,2_PC25,2_PC26,2_PC27,2_PC28,2_PC29,2_PC30,2_PC31,2_PC32,2_PC33,2_PC34,2_PC35,2_PC36,2_PC37,2_PC38,2_PC39,2_PC40,2_PC41,2_PC42,2_PC43,2_PC44,2_PC45,2_PC46,2_PC47,2_PC48,2_PC49,2_PC50
0_paracetamol(paracetamol)_ibuprofen(ibuprofen),1.4851081441332123,-2.558989595968904,-0.0204546918544121,-0.6613276910726347,0.8112447988823908,0.8877941547389866,-0.1332927468564811,-0.2352439276545191,-0.1974835312723653,0.411666620639989,-0.032160443361921,0.0649959267337545,-0.0732471376243442,-0.0452898621164205,0.0394546810822514,-0.0823791211625721,0.0856006884043817,0.141815631618109,0.0657960123890294,-0.1611440510488535,-0.0241094479343244,-0.1706115846017712,-0.0496533731374982,0.1350729131964294,0.2337630387463424,0.0312415051189739,0.0680783465725036,-0.035877137184488,0.2003053867643618,-0.1862021260609042,0.0779042059868584,-0.1749316520024556,-0.0282271014539201,0.0979903100523459,-0.1300725879742517,0.0318695678609113,0.1188303367336943,-0.0814190506386243,0.091185896621486,-0.0798192962278648,-0.0868163315717291,0.061761391613635,0.1045336497656542,-0.0234546707543936,-0.0549999260177977,-0.0395543422842182,0.1073506887346744,-0.0395350492904987,-0.2042875955114325,-0.0193049333485931,-1.4388380969400654,-1.272952914182279,1.2787945310472764,-0.557895128588519,-0.1239444011766974,0.627385022191612,-0.0702507495786189,-0.171272110892265,-0.0355573696744406,0.0453288247063075,0.3171030664635222,0.4812800935068703,-0.1105764389928545,0.0104061734500851,-0.0785359486343058,-0.0465562723387994,0.0352526844725082,-0.012645462300246,0.0559717651251884,-0.4150873643470794,-0.202808501044405,0.1153511389563866,-0.1020180978921286,-0.0215883865039908,-0.1351706980645589,0.2347969050007637,-0.1509329267222955,-0.1192844152242863,0.0569787614942801,0.0614371250377986,-0.0227902395630744,-0.1127845448426225,0.1006526437645411,0.1487573264647731,-0.2680733260477054,0.0511846567513179,-0.0941812694485266,-0.014523704800881,0.1165027679473199,-0.178917473167381,0.058914043219059,-0.0266551157027968,0.2619324902319049,-0.2401703976191372,-0.2185197582342913,-0.1011036072508816,-0.1657509130165761,-0.1807642487196575,-0.0388987967316501,-0.1525102097585908
0_ibuprofen(ibuprofen)_paracetamol(paracetamol),-1.4388380969400654,-1.272952914182279,1.2787945310472764,-0.557895128588519,-0.1239444011766974,0.627385022191612,-0.0702507495786189,-0.171272110892265,-0.0355573696744406,0.0453288247063075,0.3171030664635222,0.4812800935068703,-0.1105764389928545,0.0104061734500851,-0.0785359486343058,-0.0465562723387994,0.0352526844725082,-0.012645462300246,0.0559717651251884,-0.4150873643470794,-0.202808501044405,0.1153511389563866,-0.1020180978921286,-0.0215883865039908,-0.1351706980645589,0.2347969050007637,-0.1509329267222955,-0.1192844152242863,0.0569787614942801,0.0614371250377986,-0.0227902395630744,-0.1127845448426225,0.1006526437645411,0.1487573264647731,-0.2680733260477054,0.0511846567513179,-0.0941812694485266,-0.014523704800881,0.1165027679473199,-0.178917473167381,0.058914043219059,-0.0266551157027968,0.2619324902319049,-0.2401703976191372,-0.2185197582342913,-0.1011036072508816,-0.1657509130165761,-0.1807642487196575,-0.0388987967316501,-0.1525102097585908,1.4851081441332123,-2.558989595968904,-0.0204546918544121,-0.6613276910726347,0.8112447988823908,0.8877941547389866,-0.1332927468564811,-0.2352439276545191,-0.1974835312723653,0.411666620639989,-0.032160443361921,0.0649959267337545,-0.0732471376243442,-0.0452898621164205,0.0394546810822514,-0.0823791211625721,0.0856006884043817,0.141815631618109,0.0657960123890294,-0.1611440510488535,-0.0241094479343244,-0.1706115846017712,-0.0496533731374982,0.1350729131964294,0.2337630387463424,0.0312415051189739,0.0680783465725036,-0.035877137184488,0.2003053867643618,-0.1862021260609042,0.0779042059868584,-0.1749316520024556,-0.0282271014539201,0.0979903100523459,-0.1300725879742517,0.0318695678609113,0.1188303367336943,-0.0814190506386243,0.091185896621486,-0.0798192962278648,-0.0868163315717291,0.061761391613635,0.1045336497656542,-0.0234546707543936,-0.0549999260177977,-0.0395543422842182,0.1073506887346744,-0.0395350492904987,-0.2042875955114325,-0.0193049333485931
0_paracetamol(paracetamol)_aspirin(aspirin),1.4851081441332123,-2.558989595968904,-0.0204546918544121,-0.6613276910726347,0.8112447988823908,0.8877941547389866,-0.1332927468564811,-0.2352439276545191,-0.1974835312723653,0.411666620639989,-0.032160443361921,0.0649959267337545,-0.0732471376243442,-0.0452898621164205,0.0394546810822514,-0.0823791211625721,0.0856006884043817,0.141815631618109,0.0657960123890294,-0.1611440510488535,-0.0241094479343244,-0.1706115846017712,-0.0496533731374982,0.1350729131964294,0.2337630387463424,0.0312415051189739,0.0680783465725036,-0.035877137184488,0.2003053867643618,-0.1862021260609042,0.0779042059868584,-0.1749316520024556,-0.0282271014539201,0.0979903100523459,-0.1300725879742517,0.0318695678609113,0.1188303367336943,-0.0814190506386243,0.091185896621486,-0.0798192962278648,-0.0868163315717291,0.061761391613635,0.1045336497656542,-0.0234546707543936,-0.0549999260177977,-0.0395543422842182,0.1073506887346744,-0.0395350492904987,-0.2042875955114325,-0.0193049333485931,1.4940583385533444,-2.5011647116727644,-0.1108644062964429,-0.5778962778693142,0.8937562783278694,0.6449749823447108,0.0164293548646732,-0.548857485637219,-0.1450586101127259,0.6330899283725847,-0.2500233701298786,0.5666566312455903,-0.2124343986740599,0.1096483987161126,0.1569559028467335,-0.1172710903634618,-0.1976039473124795,0.0416073929003841,0.2627656826157692,-0.2238008428404438,0.2088761784367715,-0.2553647936937776,0.0141712934011257,0.1800233735805814,-0.0265868173963077,-0.0399045090724387,0.0753924803720595,0.0611465761142245,-0.2005797483003289,-0.04855913266975,0.1449982782412862,-0.2185620655643667,-0.119365360533974,0.0105790733415108,-0.0913135840224508,-0.0704167029061227,0.0945268936572094,-0.0921827765740189,0.0730759007210487,-0.1656776215696875,0.0009516736489004,-0.052833188390855,-0.0496554426827831,-0.071819036528597,-0.2397395297940815,0.1364576518898316,0.0133559965499591,-0.0386674775544332,0.0847822116078683,0.0089649947020764
0_aspirin(aspirin)_paracetamol(paracetamol),1.4940583385533444,-2.5011647116727644,-0.1108644062964429,-0.5778962778693142,0.8937562783278694,0.6449749823447108,0.0164293548646732,-0.548857485637219,-0.1450586101127259,0.6330899283725847,-0.2500233701298786,0.5666566312455903,-0.2124343986740599,0.1096483987161126,0.1569559028467335,-0.1172710903634618,-0.1976039473124795,0.0416073929003841,0.2627656826157692,-0.2238008428404438,0.2088761784367715,-0.2553647936937776,0.0141712934011257,0.1800233735805814,-0.0265868173963077,-0.0399045090724387,0.0753924803720595,0.0611465761142245,-0.2005797483003289,-0.04855913266975,0.1449982782412862,-0.2185620655643667,-0.119365360533974,0.0105790733415108,-0.0913135840224508,-0.0704167029061227,0.0945268936572094,-0.0921827765740189,0.0730759007210487,-0.1656776215696875,0.0009516736489004,-0.052833188390855,-0.0496554426827831,-0.071819036528597,-0.2397395297940815,0.1364576518898316,0.0133559965499591,-0.0386674775544332,0.0847822116078683,0.0089649947020764,1.4851081441332123,-2.558989595968904,-0.0204546918544121,-0.6613276910726347,0.8112447988823908,0.8877941547389866,-0.1332927468564811,-0.2352439276545191,-0.1974835312723653,0.411666620639989,-0.032160443361921,0.0649959267337545,-0.0732471376243442,-0.0452898621164205,0.0394546810822514,-0.0823791211625721,0.0856006884043817,0.141815631618109,0.0657960123890294,-0.1611440510488535,-0.0241094479343244,-0.1706115846017712,-0.0496533731374982,0.1350729131964294,0.2337630387463424,0.0312415051189739,0.0680783465725036,-0.035877137184488,0.2003053867643618,-0.1862021260609042,0.0779042059868584,-0.1749316520024556,-0.0282271014539201,0.0979903100523459,-0.1300725879742517,0.0318695678609113,0.1188303367336943,-0.0814190506386243,0.091185896621486,-0.0798192962278648,-0.0868163315717291,0.061761391613635,0.1045336497656542,-0.0234546707543936,-0.0549999260177977,-0.0395543422842182,0.1073506887346744,-0.0395350492904987,-0.2042875955114325,-0.0193049333485931
0_ibuprofen(ibuprofen)_aspirin(aspirin),-1.4388380969400654,-1.272952914182279,1.2787945310472764,-0.557895128588519,-0.1239444011766974,0.627385022191612,-0.0702507495786189,-0.171272110892265,-0.0355573696744406,0.0453288247063075,0.3171030664635222,0.4812800935068703,-0.1105764389928545,0.0104061734500851,-0.0785359486343058,-0.0465562723387994,0.0352526844725082,-0.012645462300246,0.0559717651251884,-0.4150873643470794,-0.202808501044405,0.1153511389563866,-0.1020180978921286,-0.0215883865039908,-0.1351706980645589,0.2347969050007637,-0.1509329267222955,-0.1192844152242863,0.0569787614942801,0.0614371250377986,-0.0227902395630744,-0.1127845448426225,0.1006526437645411,0.1487573264647731,-0.2680733260477054,0.0511846567513179,-0.0941812694485266,-0.014523704800881,0.1165027679473199,-0.178917473167381,0.058914043219059,-0.0266551157027968,0.2619324902319049,-0.2401703976191372,-0.2185197582342913,-0.1011036072508816,-0.1657509130165761,-0.1807642487196575,-0.0388987967316501,-0.1525102097585908,1.4940583385533444,-2.5011647116727644,-0.1108644062964429,-0.5778962778693142,0.8937562783278694,0.6449749823447108,0.0164293548646732,-0.548857485637219,-0.1450586101127259,0.6330899283725847,-0.2500233701298786,0.5666566312455903,-0.2124343986740599,0.1096483987161126,0.1569559028467335,-0.1172710903634618,-0.1976039473124795,0.0416073929003841,0.2627656826157692,-0.2238008428404438,0.2088761784367715,-0.2553647936937776,0.0141712934011257,0.1800233735805814,-0.0265868173963077,-0.0399045090724387,0.0753924803720595,0.0611465761142245,-0.2005797483003289,-0.04855913266975,0.1449982782412862,-0.2185620655643667,-0.119365360533974,0.0105790733415108,-0.0913135840224508,-0.0704167029061227,0.0945268936572094,-0.0921827765740189,0.0730759007210487,-0.1656776215696875,0.0009516736489004,-0.052833188390855,-0.0496554426827831,-0.071819036528597,-0.2397395297940815,0.1364576518898316,0.0133559965499591,-0.0386674775544332,0.0847822116078683,0.0089649947020764
0_aspirin(aspirin)_ibuprofen(ibuprofen),1.4940583385533444,-2.5011647116727644,-0.1108644062964429,-0.5778962778693142,0.8937562783278694,0.6449749823447108,0.0164293548646732,-0.548857485637219,-0.1450586101127259,0.6330899283725847,-0.2500233701298786,0.5666566312455903,-0.2124343986740599,0.1096483987161126,0.1569559028467335,-0.1172710903634618,-0.1976039473124795,0.0416073929003841,0.2627656826157692,-0.2238008428404438,0.2088761784367715,-0.2553647936937776,0.0141712934011257,0.1800233735805814,-0.0265868173963077,-0.0399045090724387,0.0753924803720595,0.0611465761142245,-0.2005797483003289,-0.04855913266975,0.1449982782412862,-0.2185620655643667,-0.119365360533974,0.0105790733415108,-0.0913135840224508,-0.0704167029061227,0.0945268936572094,-0.0921827765740189,0.0730759007210487,-0.1656776215696875,0.0009516736489004,-0.052833188390855,-0.0496554426827831,-0.071819036528597,-0.2397395297940815,0.1364576518898316,0.0133559965499591,-0.0386674775544332,0.0847822116078683,0.0089649947020764,-1.4388380969400654,-1.272952914182279,1.2787945310472764,-0.557895128588519,-0.1239444011766974,0.627385022191612,-0.0702507495786189,-0.171272110892265,-0.0355573696744406,0.0453288247063075,0.3171030664635222,0.4812800935068703,-0.1105764389928545,0.0104061734500851,-0.0785359486343058,-0.0465562723387994,0.0352526844725082,-0.012645462300246,0.0559717651251884,-0.4150873643470794,-0.202808501044405,0.1153511389563866,-0.1020180978921286,-0.0215883865039908,-0.1351706980645589,0.2347969050007637,-0.1509329267222955,-0.1192844152242863,0.0569787614942801,0.0614371250377986,-0.0227902395630744,-0.1127845448426225,0.1006526437645411,0.1487573264647731,-0.2680733260477054,0.0511846567513179,-0.0941812694485266,-0.014523704800881,0.1165027679473199,-0.178917473167381,0.058914043219059,-0.0266551157027968,0.2619324902319049,-0.2401703976191372,-0.2185197582342913,-0.1011036072508816,-0.1657509130165761,-0.1807642487196575,-0.0388987967316501,-0.1525102097585908
1_metformin(metformin)_amoxicillin(amoxicillin),5.494181985934616,-0.8760676241306258,0.4300529353534288,-0.6056092700132092,-0.0799842556441225,-0.0383114747541928,-0.1055610156842465,-0.3873549807399962,0.2389659896550747,0.0565751242705178,0.3306273056041774,-0.3690062375186366,0.4525950845545989,-0.1165695543181538,-0.069312747174164,-0.297451152914336,0.1467099965432862,0.0797315326120625,-0.0262493436543912,0.0699793068799795,-0.0225952750518209,-0.2989040048264046,-0.0754723442892533,0.0219777528411104,0.033420822926317,0.0012603571506148,0.1510443533460296,-0.0113351319041808,-0.0390208488711665,0.0080405954951508,0.0728401387054824,0.1841876826164582,-0.1190969724734724,0.0248301429501037,-0.0184967556938439,-0.082396993392874,-0.0113744830501644,0.2149342436642174,0.0436061988584239,-0.1401080335348038,0.0948782897430081,0.1043582262907064,0.0776785567145949,-0.038892268999437,-0.0119820351170095,0.0299966336659313,-0.1317333686156496,-0.041666174765021,-0.0709585872910341,0.0577990516245197,-0.8257918274224441,-0.9110647188955844,-0.1568154017209621,-0.4214001448349234,0.1526739972588269,-0.0793152688772946,-0.0784842603227046,-0.6307952727449088,-0.1857012429927746,-0.0082677912051988,0.1718744271460202,1.0972296167519096,0.2985619988412912,0.2038932604480802,-0.0036870813832587,-0.0433500339739335,-0.1072123465866836,-0.114059977795884,0.0302536261315906,0.0998917695698443,0.1721360969798628,-0.066822373962068,-0.0626932897720936,0.0960617110090949,-0.2940511017797765,0.1102154627504761,-0.0866707155267786,-0.1602315212240196,-0.0850924513536797,-0.0639411470645362,0.0389583140218651,-0.1681653840859253,-0.0429112170574002,-0.0483992371053533,-0.0594205982708799,-0.0174807820273186,-0.1848376109943302,-0.1875780313315448,0.2434047416366367,-0.132319674089478,-0.0621688020875226,0.1011472049741579,0.139166932869621,0.0246551144714293,-0.1649125379594743,0.0078290662183137,0.0669608814226733,-0.1065202091504593,-0.0059479090455524,-0.0179040582239222
1_amoxicillin(amoxicillin)_metformin(metformin),-0.8257918274224441,-0.9110647188955844,-0.1568154017209621,-0.4214001448349234,0.1526739972588269,-0.0793152688772946,-0.0784842603227046,-0.6307952727449088,-0.1857012429927746,-0.0082677912051988,0.1718744271460202,1.0972296167519096,0.2985619988412912,0.2038932604480802,-0.0036870813832587,-0.0433500339739335,-0.1072123465866836,-0.114059977795884,0.0302536261315906,0.0998917695698443,0.1721360969798628,-0.066822373962068,-0.0626932897720936,0.0960617110090949,-0.2940511017797765,0.1102154627504761,-0.0866707155267786,-0.1602315212240196,-0.0850924513536797,-0.0639411470645362,0.0389583140218651,-0.1681653840859253,-0.0429112170574002,-0.0483992371053533,-0.0594205982708799,-0.0174807820273186,-0.1848376109943302,-0.1875780313315448,0.2434047416366367,-0.132319674089478,-0.0621688020875226,0.1011472049741579,0.139166932869621,0.0246551144714293,-0.1649125379594743,0.0078290662183137,0.0669608814226733,-0.1065202091504593,-0.0059479090455524,-0.0179040582239222,5.494181985934616,-0.8760676241306258,0.4300529353534288,-0.6056092700132092,-0.0799842556441225,-0.0383114747541928,-0.1055610156842465,-0.3873549807399962,0.2389659896550747,0.0565751242705178,0.3306273056041774,-0.3690062375186366,0.4525950845545989,-0.1165695543181538,-0.069312747174164,-0.297451152914336,0.1467099965432862,0.0797315326120625,-0.0262493436543912,0.0699793068799795,-0.0225952750518209,-0.2989040048264046,-0.0754723442892533,0.0219777528411104,0.033420822926317,0.0012603571506148,0.1510443533460296,-0.0113351319041808,-0.0390208488711665,0.0080405954951508,0.0728401387054824,0.1841876826164582,-0.1190969724734724,0.0248301429501037,-0.0184967556938439,-0.082396993392874,-0.0113744830501644,0.2149342436642174,0.0436061988584239,-0.1401080335348038,0.0948782897430081,0.1043582262907064,0.0776785567145949,-0.038892268999437,-0.0119820351170095,0.0299966336659313,-0.1317333686156496,-0.041666174765021,-0.0709585872910341,0.0577990516245197
